Date,Open Interest,Producer/Merchant/ Processor/User Long,Producer/Merchant/ Processor/User Short,Swap Dealers Long,Swap Dealers short,Swap Dealers Spreading,Managed Money Long,Managed Money Short,Managed Money Spreading,Other Reportables Long,Other Reportables Short,Other Reportables Spreading,Nonreportable Positions Long,Nonreportable PositionsShort
9/17/2024,263672,136903,160781,31300,31985,17474,23815,293,16535,3786,4227,30802,3057,1575
9/10/2024,264798,140093,162664,31213,34836,16823,24140,181,15233,3300,2611,30292,3704,2158
9/3/2024,282285,151693,151868,35244,63059,16428,24481,160,15783,4208,2681,30355,4093,1951
8/27/2024,338754,170085,177935,39471,62220,27353,23791,662,21766,7132,2751,44458,4698,1609
8/20/2024,342963,171830,182408,41823,62316,26657,23771,426,22495,6666,2516,44747,4974,1398
8/13/2024,358780,188950,191031,40918,68280,27280,22972,525,21929,6589,2555,45817,4325,1363
8/6/2024,361079,192725,191771,40277,68295,27093,22821,658,21612,5000,2830,46242,5309,2578
7/30/2024,363246,192004,191938,40145,69296,27246,23940,647,21985,4839,2758,47755,5332,1621
7/23/2024,361954,192108,189372,39113,70416,27175,23201,621,21487,4882,2821,48256,5732,1806
7/16/2024,359948,188244,188570,39613,67219,29579,23442,612,21532,4679,2902,48282,4577,1252
7/9/2024,355306,188621,188474,40915,67128,25475,21953,760,21121,4446,3111,47655,5120,1582
7/2/2024,358342,190697,190653,44758,68460,25530,19638,761,20635,4294,3367,47309,5481,1627
6/25/2024,448392,235492,232309,47588,72461,34863,19628,1264,31655,3982,3956,71497,3687,387
6/18/2024,456616,243104,238695,44120,72454,35341,19879,894,33337,4585,3803,71853,4397,239
6/11/2024,454148,244951,237448,45912,72819,34826,16114,865,32423,4640,3879,71059,4223,829
6/4/2024,447971,244322,233319,44717,72432,34613,13640,945,31863,3909,3924,70540,4367,335
5/28/2024,445196,244759,231670,44535,73093,34464,12238,850,30873,3425,4121,69781,5121,344
5/21/2024,423899,229562,223211,47319,72361,31653,12652,1110,28219,3417,1011,66114,4963,220
5/14/2024,434329,232769,230320,46737,67133,36687,13289,855,29935,3224,1446,67905,3783,48
5/7/2024,430592,233425,226544,41938,67501,32772,14362,591,31748,3372,2060,68903,4072,473
4/30/2024,433478,228493,227179,43013,68128,35250,19654,666,31532,4406,2431,68047,3083,245
4/23/2024,543449,276909,276539,41819,69619,49425,22767,1105,43465,4528,2399,100492,4044,405
4/16/2024,529609,264103,266014,42691,68959,47708,23910,1519,42324,4918,2377,98049,5906,2659
4/9/2024,523178,263322,265409,40625,68673,46701,25171,1153,41442,5040,2527,94853,6024,2420
