Date,Open Interest,Producer/Merchant/ Processor/User Long,Producer/Merchant/ Processor/User Short,Swap Dealers Long,Swap Dealers short,Swap Dealers Spreading,Managed Money Long,Managed Money Short,Managed Money Spreading,Other Reportables Long,Other Reportables Short,Other Reportables Spreading,Nonreportable Positions Long,Nonreportable PositionsShort
8/11/2015,432002,166889,221441,13161,26161,44060,68875,7410,61107,5539,1494,67535,4837,2794
8/4/2015,445012,160848,225570,11705,29046,42781,81367,6962,66797,5974,1314,69759,5782,2783
7/28/2015,448337,155943,229215,13923,26335,44353,82539,5841,68815,6453,1250,69595,6715,2931
7/21/2015,460620,151401,232109,15286,30385,45993,89664,3108,72932,6377,632,73423,5544,2038
7/14/2015,462760.1882,156979,238203,13281,29756,46110,90865,2660,72944,6247,800,71661,4674,626
7/7/2015,453911.6647,161066,235732,12204,34164,40722,90910,3270,72696,6075,1536,65644,4594,147
6/30/2015,436486.4852,153595,225239,14490,35423,38824,89107,3429,65676,6188,2276,63852,4755,1767
6/23/2015,439962.2024,164839,230366,13660,40076,36766,88653,2925,61808,5543,3228,63830,4863,964
6/16/2015,441080.5868,172185,239022,14266,40439,35141,86432,2434,59291,5640,3097,60948,7178,709
6/9/2015,433416.1687,176054,240175,15265,38851,33753,81753,2746,55971,6032,3408,57767,6821,745
6/2/2015,424860.1377,175756,240411,17433,38106,31523,79471,2016,52756,6355,3355,54753,6814,1940
5/26/2015,404294.2346,171670,229102,17148,38639,26753,76418,1993,47686,6077,6920,51600,6943,1601
5/19/2015,388251.1529,168685,223408,15382,36709,23140,72921,1115,48575,6069,5897,48166,5313,1241
5/12/2015,377528.5443,172253,222933,13479,39530,21212,62827,1330,48699,12295,906,42060,4704,859
5/5/2015,372280.6316,172895,221815,12813,37622,21424,66946,2133,46788,6110,492,40880,4425,1128
4/28/2015,391803.6026,182006,225189,12551,38982,23860,64354,2256,47807,5773,550,50755,4698,2405
4/21/2015,368887.9863,173069,213615,14215,37539,21816,60207,3023,41005,5722,1260,48258,4595,2371
4/14/2015,376965.7067,172452,216785,14499,38607,22780,62872,3147,43997,5669,604,49795,4902,1251
4/7/2015,360294.9603,179990,217316,14068,37082,20862,56164,3898,42576,5183,673,35528,5925,2361
3/31/2015,354400,178267,216334,15038,36507,18991,55801,4003,41218,5477,717,33996,5613,2633
3/24/2015,330139,167582,206819,16919,40183,12316,61642,3880,31649,4699,2800,30338,4994,2154
3/17/2015,337300,168147,217453,17159,40654,11786,67701,2593,33510,5336,600,27652,6010,3052
3/10/2015,338064,168117,219788,17860,40054,14681,65319,1568,34962,4927,186,26734,5464,92
3/3/2015,342818,169517,224582,17606,36481,14968,64285,1356,37782,6874,384,25837,5950,1429
2/24/2015,399747,183109,238888,17640,30678,19909,61398,1066,64973,5148,604,42707,4862,921
2/17/2015,377139,176323,227069,15109,29561,18584,57969,860,59331,3860,564,40193,5770,977
2/10/2015,352124,164751,213694,16980,23174,17306,51742,1395,54689,3498,599,38244,4913,3023
2/3/2015,321771,161766,209352,18946,19571,15356,45337,1602,44702,3321,309,27520,4822,3359
1/27/2015,323003,152516,208260,21016,17588,15361,47389,1553,50154,5119,498,25522,5926,4067
1/20/2015,339281,153932,214702,22806,21158,12711,53120,1616,59479,4688,219,26018,6527,3378
1/13/2015,342912,156863,217897,21888,21024,12039,54485,1946,60343,4378,228,26402,6514,3034
1/6/2015,331495,153929,208103,19796,21198,13978,50489,2309,59550,4707,125,23807,5239,2426
12/30/2014,319280,149785,205446,18924,17370,13408,49982,2326,55988,3580,103,22933,4680,1707
12/23/2014,312930,147919,200554,18658,18687,13486,49572,2248,53207,2960,125,23246,3882,1378
12/16/2014,293787,138958,193016,19755,13778,12129,45895,2381,48031,1959,130,22565,4494,1757
12/9/2014,301224,144590,203869,19033,11176,12239,48342,2256,47876,1802,147,23564,3778,99
12/2/2014,301929,151074,204196,18708,13161,13630,45169,1951,45370,1337,425,22827,3813,370
11/25/2014,346446,177892,227867,17246,12280,21392,43910,2199,51734,1704,587,29532,3036,855
11/18/2014,349939,178778,225787,16803,12578,19328,41403,2545,55967,2258,544,30398,5004,2792
11/11/2014,353648,180570,232178,16685,13099,17803,45932,2218,55414,2339,560,30343,4562,2033
11/4/2014,351889,184024,231123,17371,13196,17658,42355,3533,55647,2841,519,30481,1513,-267
10/28/2014,352955,176215,225370,20719,13681,19125,43728,5548,56237,3005,544,32017,1908,433
10/21/2014,358232,170724,232572,21684,15762,17439,53329,2291,55270,3166,1147,32798,3821,952
10/14/2014,358345,172648,234469,21543,16095,16881,53981,2210,54540,2562,846,30525,5664,2779
10/7/2014,360462,169320,235006,22234,16815,17026,57003,2137,54239,3055,635,30766,6819,3838
9/30/2014,382281,163725,245478,22817,19604,15402,72307,1798,56352,3553,465,32185,15941,10999
